"MasterID","yr","COMID","pChem","pHab","pOverall","biological_condition","stress_condition","SQI","County","SMC_region","Regional_board","Constraint_class","ASCI","blc","bs","Cond","CSCI","Ev_FlowHab","H_AqHab","H_SubNat","hy","CRAM","IPI","PCT_SAFN","ps","TN","TP","XCMG","lon","lat","ASCI_ptile","blc_ptile","bs_ptile","Cond_ptile","CRAM_ptile","CSCI_ptile","Ev_FlowHab_ptile","H_AqHab_ptile","H_SubNat_ptile","hy_ptile","IPI_ptile","PCT_SAFN_ptile","ps_ptile","TN_ptile","TP_ptile","XCMG_ptile"
"SMC01689",2012,20341709,0.972747319284567,0.961666639992915,0.998955313178977,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","San Diego","Northern San Diego","San Diego","possibly constrained",0.66,92,89,1584,0.3,0.87,0.71,0.39,58,79,0.96,0.42,75,0.32,0.12,1,-117.23574,33.26814,0.344569288389513,0.756554307116105,0.955056179775281,0.599250936329588,0.767790262172285,0.0224719101123595,0.790262172284644,0.441947565543071,0.213483146067416,0.363295880149813,0.636704119850187,0.288389513108614,0.842696629213483,0.228464419475655,0.632958801498127,1
"SMC01717",2009,20341551,0.989065311878014,0.533351014597034,0.994897338882177,"Impacted for CSCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Northern San Diego","San Diego","possibly constrained",0.84,92,86,1200,0.55,0.72,0.82,0.64,83,90,1.06,0.64,100,2.19,0.39,1,-117.13232,33.34014,0.685393258426966,0.756554307116105,0.917602996254682,0.464419475655431,0.962546816479401,0.284644194756554,0.591760299625468,0.692883895131086,0.389513108614232,0.857677902621723,0.850187265917603,0.456928838951311,1,0.689138576779026,0.861423220973783,1
"SMC01881",2013,20342539,0.998063112830942,0.961584788598519,0.99992559406994,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","San Diego","Northern San Diego","San Diego","likely constrained",0.73,90.3,55.6,2286,0.35,0.06,0.78,0.56,58.3,64,0.84,0.41,50,1.4,0.19,1,-117.34167,33.23548,0.47940074906367,0.617977528089888,0.367041198501873,0.797752808988764,0.397003745318352,0.052434456928839,0.0224719101123595,0.610486891385768,0.299625468164794,0.400749063670412,0.426966292134831,0.277153558052434,0.524344569288389,0.576779026217228,0.771535580524345,1
"SMC02457",2010,20342507,0.997702094619305,0.828803816568152,0.999606607368937,"Impacted for CSCI and ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Northern San Diego","San Diego","possibly constrained",0.59,88,58,2481,0.64,0.48,0.84,0.63,75,71,0.88,0.52,63,0.84,0.12,0.78,-117.25006,33.25578,0.198501872659176,0.595505617977528,0.426966292134831,0.842696629213483,0.569288389513109,0.374531835205993,0.258426966292135,0.734082397003745,0.367041198501873,0.756554307116105,0.49438202247191,0.370786516853933,0.677902621722846,0.47565543071161,0.632958801498127,0.749063670411985
"SMC02905",2013,20342513,0.96422894563904,0.668747821394543,0.988150760311918,"Impacted for CSCI and ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Northern San Diego","San Diego","possibly constrained",0.58,80.6,50,1331,0.44,0.28,0.9,0.59,75,61,0.98,0.71,37.5,1.63,0.1,1,-117.3287,33.24093,0.187265917602996,0.48314606741573,0.325842696629214,0.531835205992509,0.355805243445693,0.131086142322097,0.112359550561798,0.850187265917603,0.348314606741573,0.756554307116105,0.681647940074906,0.50936329588015,0.247191011235955,0.610486891385768,0.558052434456929,1
"SMC02933",2010,20341587,0.994207923028947,0.518987050880523,0.997213935974627,"Impacted for CSCI and ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Northern San Diego","San Diego","possibly constrained",0.62,92,81,2439.5,0.73,0.69,0.89,0.69,83,86,1.03,0.72,88,0.82,0.05,0.87,-117.16562,33.31956,0.247191011235955,0.756554307116105,0.876404494382023,0.831460674157303,0.898876404494382,0.550561797752809,0.524344569288389,0.835205992509363,0.441947565543071,0.857677902621723,0.786516853932584,0.51685393258427,0.958801498127341,0.468164794007491,0.400749063670412,0.823970037453184
"SMC03401",2013,22548347,0.835365070595619,0.831791596038485,0.972307021288572,"Impacted for ASCI","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed","San Diego","Northern San Diego","San Diego","possibly constrained",0.74,80.6,69.4,1142,1.07,0.69,0.86,0.81,66.7,70,1.09,0.7,62.5,1.19,0.03,0.96,-117.31169,33.45042,0.49812734082397,0.48314606741573,0.666666666666667,0.415730337078652,0.546816479400749,0.958801498127341,0.524344569288389,0.782771535580524,0.569288389513109,0.460674157303371,0.898876404494382,0.50187265917603,0.565543071161049,0.550561797752809,0.307116104868914,0.887640449438202
"901S00313",2009,20348383,0.206442205596208,0.364880017749106,0.495995587703205,"Impacted for CSCI","Low stress","Impacted by unknown stress","Riverside","San Juan","San Diego","possibly unconstrained",0.94,96,100,153,0.68,0.91,0.8,0.87,92,94,1.06,0.68,88,0.27,0.03,0.78,-117.44623,33.60642,0.805243445692884,0.801498127340824,1,0.0224719101123595,0.97752808988764,0.460674157303371,0.838951310861423,0.644194756554307,0.700374531835206,0.947565543071161,0.850187265917603,0.49063670411985,0.958801498127341,0.179775280898876,0.307116104868914,0.749063670411985
"901M14118",2015,20348413,0.921506326444639,0.563252159745741,0.965718057601073,"Impacted for ASCI","Stressed by chemistry degradation","Impacted and stressed","Orange","San Juan","San Diego","possibly constrained",0.75,93.3,75,1024,0.96,0.89,0.86,0.78,75,76,1.18,0.86,62.5,3.5,0.06,1,-117.62739,33.6098,0.524344569288389,0.790262172284644,0.771535580524345,0.348314606741573,0.715355805243446,0.808988764044944,0.827715355805243,0.782771535580524,0.546816479400749,0.756554307116105,0.9812734082397,0.726591760299625,0.565543071161049,0.760299625468165,0.423220973782772,1
"901M14124",2015,20350837,0.999999849794296,0.999575427278706,0.999999999936227,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","Orange","San Juan","San Diego","likely constrained",0.41,50,25,6600,0.38,0.82,0.15,0.22,33.3,33,0.3,0.17,25,1.7,0.06,0,-117.62556,33.43535,0.0374531835205993,0.138576779026217,0.149812734082397,0.97752808988764,0.0711610486891386,0.0749063670411985,0.745318352059925,0.0898876404494382,0.134831460674157,0.161048689138577,0.112359550561798,0.157303370786517,0.213483146067416,0.621722846441948,0.423220973782772,0.048689138576779
